sample_id,source_mat_id,Extraction Number,imos_project,nrs_sample_code,samp_size,sample_volume_notes,sample_integrity_warnings,notes,dna_concentration_submitter,dna_concentration_submitter_meth,absorbance_260_280_ratio_submitter,absorbance_260_280_ratio_submitter_meth,QC_flag
102.100.100/141126,102.100.100/141126,845,NRS,DAR20190722_2130_0,0.72,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141166,102.100.100/141166,847,NRS,DAR20190722_2130_18,0.73,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/405137,102.100.100/405137,848,NRS,DAR20190723_0030_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405141,102.100.100/405141,850,NRS,DAR20190723_0030_20,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405138,102.100.100/405138,851,NRS,DAR20190723_0330_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405142,102.100.100/405142,853,NRS,DAR20190723_0330_18,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/141127,102.100.100/141127,854,NRS,DAR20190723_0630_0,0.72,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141167,102.100.100/141167,856,NRS,DAR20190723_0630_16,0.72,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/139717,102.100.100/139717,623,NRS,DAR20191105_0,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141168,102.100.100/141168,884,NRS,DAR20191105_15.5,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141128,102.100.100/141128,857,NRS,DAR20200203_2130_0,0.99,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141169,102.100.100/141169,859,NRS,DAR20200203_2130_16.5,1.01,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/405139,102.100.100/405139,860,NRS,DAR20200204_0030_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405143,102.100.100/405143,862,NRS,DAR20200204_0030_17,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405140,102.100.100/405140,863,NRS,DAR20200204_0330_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405144,102.100.100/405144,865,NRS,DAR20200204_0330_18,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/141129,102.100.100/141129,866,NRS,DAR20200204_0630_0,1.02,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141170,102.100.100/141170,868,NRS,DAR20200204_0630_18,1.04,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141130,102.100.100/141130,1153,NRS,DAR20200511_0,0.74,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141171,102.100.100/141171,1155,NRS,DAR20200511_17,0.74,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141131,102.100.100/141131,1186,NRS,DAR20200810_0,1.1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141172,102.100.100/141172,1188,NRS,DAR20200810_16,1.1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141223,102.100.100/141223,1291,NRS,DAR20200921_2130_0,0.82,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141224,102.100.100/141224,1293,NRS,DAR20200921_2130_20,0.825,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/405145,102.100.100/405145,1294,NRS,DAR20200922_0030_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405151,102.100.100/405151,1296,NRS,DAR20200922_0030_21,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405146,102.100.100/405146,1297,NRS,DAR20200922_0330_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405152,102.100.100/405152,1299,NRS,DAR20200922_0330_17,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405147,102.100.100/405147,1300,NRS,DAR20200922_0630_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405153,102.100.100/405153,1302,NRS,DAR20200922_0630_15,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/141226,102.100.100/141226,1347,NRS,DAR20201123_0,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141225,102.100.100/141225,1349,NRS,DAR20201123_14,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400745,102.100.100/400745,1939,NRS,DAR20210303_0,0.8,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400746,102.100.100/400746,1940,NRS,DAR20210303_10,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400747,102.100.100/400747,1941,NRS,DAR20210303_17.5,0.75,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400748,102.100.100/400748,1903,NRS,DAR20210427_2130_0,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400749,102.100.100/400749,1904,NRS,DAR20210427_2130_10,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400750,102.100.100/400750,1905,NRS,DAR20210427_2130_20,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/405148,102.100.100/405148,1906,NRS,DAR20210428_0030_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405154,102.100.100/405154,1908,NRS,DAR20210428_0030_18,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405149,102.100.100/405149,1909,NRS,DAR20210428_0330_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405155,102.100.100/405155,1911,NRS,DAR20210428_0330_16,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405150,102.100.100/405150,1912,NRS,DAR20210428_0630_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405156,102.100.100/405156,1914,NRS,DAR20210428_0630_17,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/400751,102.100.100/400751,1849,NRS,DAR20210727_0,0.69,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400752,102.100.100/400752,1851,NRS,DAR20210727_17,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400755,102.100.100/400755,1837,NRS,DAR20211106_2130_0,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400756,102.100.100/400756,1839,NRS,DAR20211106_2130_17,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400753,102.100.100/400753,1840,NRS,DAR20211107_0030_0,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400754,102.100.100/400754,1842,NRS,DAR20211107_0030_17,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/405157,102.100.100/405157,1843,NRS,DAR20211107_0330_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405162,102.100.100/405162,1845,NRS,DAR20211107_0330_15,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405158,102.100.100/405158,1846,NRS,DAR20211107_0630_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405163,102.100.100/405163,1848,NRS,DAR20211107_0630_17,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/400806,102.100.100/400806,1999,NRS,DAR20220320_0,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400829,102.100.100/400829,2001,NRS,DAR20220320_17.5,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400852,102.100.100/400852,2096,NRS,DAR20220427_2130_0,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400875,102.100.100/400875,2094,NRS,DAR20220427_2130_16,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/405159,102.100.100/405159,2087,NRS,DAR20220428_0030_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405164,102.100.100/405164,2085,NRS,DAR20220428_0030_14,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405160,102.100.100/405160,2090,NRS,DAR20220428_0330_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405165,102.100.100/405165,2088,NRS,DAR20220428_0330_15,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405161,102.100.100/405161,2093,NRS,DAR20220428_0630_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405166,102.100.100/405166,2091,NRS,DAR20220428_0630_17,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/400853,102.100.100/400853,2162,NRS,DAR20220815_0,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400876,102.100.100/400876,2164,NRS,DAR20220815_20,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400899,102.100.100/400899,2265,NRS,DAR20221104_2130_0,0.8,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/400917,102.100.100/400917,2267,NRS,DAR20221104_2130_17.2,0.8,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/405167,102.100.100/405167,2235,NRS,DAR20221105_0030_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405173,102.100.100/405173,2237,NRS,DAR20221105_0030_16,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405168,102.100.100/405168,2232,NRS,DAR20221105_0330_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405174,102.100.100/405174,2234,NRS,DAR20221105_0330_16.5,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405169,102.100.100/405169,2229,NRS,DAR20221105_0630_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405175,102.100.100/405175,2231,NRS,DAR20221105_0630_18.8,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/400939,102.100.100/400939,3072,NRS,DAR20230222_0,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/402867,102.100.100/402867,3074,NRS,DAR20230222_18,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/403700,102.100.100/403700,3233,NRS,DAR20230524_2130_0,0.7,,,,3.6,meth_3.3.3,-9999,-9999,1
102.100.100/403701,102.100.100/403701,3235,NRS,DAR20230524_2130_17,0.7,,,,7.06,meth_3.3.3,-9999,-9999,1
102.100.100/405170,102.100.100/405170,3236,NRS,DAR20230525_0030_0,0.7,,,,-9999,-9999,-9999,-9999,1
102.100.100/405176,102.100.100/405176,3238,NRS,DAR20230525_0030_19,0.7,,,,-9999,-9999,-9999,-9999,1
102.100.100/405171,102.100.100/405171,3239,NRS,DAR20230525_0330_0,0.7,,,,-9999,-9999,-9999,-9999,1
102.100.100/405177,102.100.100/405177,3241,NRS,DAR20230525_0330_17,0.7,,,,-9999,-9999,-9999,-9999,1
102.100.100/405172,102.100.100/405172,3242,NRS,DAR20230525_0630_0,0.7,,,,-9999,-9999,-9999,-9999,1
102.100.100/405178,102.100.100/405178,3244,NRS,DAR20230525_0630_17,0.7,,,,-9999,-9999,-9999,-9999,1
102.100.100/403742,102.100.100/403742,3343,NRS,DAR20230731_0,0.7,,,,2.71,meth_3.3.3,-9999,-9999,1
102.100.100/403773,102.100.100/403773,3345,NRS,DAR20230731_16,0.7,,,,3.32,meth_3.3.3,-9999,-9999,1
102.100.100/403743,102.100.100/403743,3309,NRS,DAR20231213_2130_0,1.65,,,,19.7,meth_3.3.3,-9999,-9999,1
102.100.100/403705,102.100.100/403705,3311,NRS,DAR20231213_2130_18,1.5,,,,10.5,meth_3.3.3,-9999,-9999,1
